0,1,2,3,4
980,00:00:18.169,5,3,on/off road
981,00:00:18.209,5,3,on/off road
984,00:00:18.269,5,2,on/off road
985,00:00:18.309,5,3,on/off road
987,00:00:18.349,4,3,on/off road
988,00:00:18.369,4,3,on/off road
990,00:00:18.409,4,3,on/off road
994,00:00:18.469,3,3,on/off road
995,00:00:18.489,3,3,on/off road
996,00:00:18.509,3,3,on/off road
998,00:00:18.529,2,3,on/off road
999,00:00:18.589,2,3,on/off road
1000,00:00:18.609,2,3,on/off road
1003,00:00:18.669,4,5,on/off road
1005,00:00:18.709,4,5,on/off road
1008,00:00:18.748,3,2,on/off road
1009,00:00:18.788,2,2,on/off road
1011,00:00:18.808,3,2,on/off road
1014,00:00:18.868,2,3,on/off road
1015,00:00:18.888,2,3,on/off road
1017,00:00:18.908,2,3,on/off road
1018,00:00:18.928,2,3,on/off road
1019,00:00:18.948,2,3,on/off road
1020,00:00:18.988,2,3,on/off road
1021,00:00:19.008,2,3,on/off road
1024,00:00:19.068,3,3,on/off road
1025,00:00:19.088,3,3,on/off road
1026,00:00:19.108,3,3,on/off road
1028,00:00:19.148,1,3,on/off road
1030,00:00:19.208,1,3,on/off road
1034,00:00:19.828,3,4,on/off road
1035,00:00:19.868,3,4,on/off road
1038,00:00:19.908,3,1,on/off road
1039,00:00:19.928,3,1,on/off road
1040,00:00:20.028,3,1,on/off road
1042,00:00:20.048,3,1,on/off road
1043,00:00:20.068,3,1,on/off road
1044,00:00:20.088,2,1,on/off road
1046,00:00:20.148,2,1,on/off road
1050,00:00:20.188,3,0,on/off road
1051,00:00:20.208,3,0,on/off road
1052,00:00:20.228,3,0,on/off road
1053,00:00:20.248,3,0,on/off road
1056,00:00:20.308,4,1,on/off road
1057,00:00:20.348,4,1,on/off road
1059,00:00:20.407,3,0,on/off road
1061,00:00:20.427,3,0,on/off road
1062,00:00:20.447,3,0,on/off road
1065,00:00:20.487,3,1,on/off road
1066,00:00:20.507,3,1,on/off road
1067,00:00:20.527,3,1,on/off road
1068,00:00:20.547,3,1,on/off road
1072,00:00:20.627,3,1,on/off road
1073,00:00:20.647,3,1,on/off road
1075,00:00:20.667,2,2,on/off road
1076,00:00:20.707,2,2,on/off road
1077,00:00:20.747,2,2,on/off road
1080,00:00:20.807,3,0,on/off road
1081,00:00:20.847,3,0,on/off road
1084,00:00:20.867,3,1,on/off road
1085,00:00:20.927,3,1,on/off road
1086,00:00:20.947,3,1,on/off road
1089,00:00:21.007,4,2,on/off road
1090,00:00:21.027,4,2,on/off road
1092,00:00:21.047,4,2,on/off road
1093,00:00:21.067,4,2,on/off road
1094,00:00:21.087,4,2,on/off road
1095,00:00:21.107,4,2,on/off road
1096,00:00:21.147,4,2,on/off road
1100,00:00:21.227,3,3,on/off road
1101,00:00:21.247,3,3,on/off road
1104,00:00:21.287,4,2,on/off road
1106,00:00:21.307,4,2,on/off road
1107,00:00:21.347,4,2,on/off road
1111,00:00:21.367,3,3,on/off road
1112,00:00:21.447,3,3,on/off road
1116,00:00:21.547,3,3,on/off road
1119,00:00:21.587,3,3,on/off road
1120,00:00:21.627,3,3,on/off road
1121,00:00:21.647,3,3,on/off road
1124,00:00:21.727,4,3,on/off road
1126,00:00:21.747,4,3,on/off road
1129,00:00:21.787,2,3,on/off road
1130,00:00:21.847,2,3,on/off road
1133,00:00:21.907,3,2,on/off road
1135,00:00:21.947,3,2,on/off road
1139,00:00:22.006,1,2,on/off road
1140,00:00:22.026,1,2,on/off road
1141,00:00:22.046,1,2,on/off road
1145,00:00:22.086,2,1,on/off road
1146,00:00:22.106,2,1,on/off road
1147,00:00:22.126,2,1,on/off road
1149,00:00:22.146,2,1,on/off road
1150,00:00:22.186,3,0,on/off road
1151,00:00:22.226,3,0,on/off road
1152,00:00:22.246,3,0,on/off road
1154,00:00:22.306,4,0,on/off road
1155,00:00:22.326,4,0,on/off road
1157,00:00:22.346,4,0,on/off road
1160,00:00:22.426,4,0,on/off road
1162,00:00:22.446,4,0,on/off road
1165,00:00:22.506,3,0,on/off road
1168,00:00:22.546,3,0,on/off road
1170,00:00:22.566,4,1,on/off road
1172,00:00:22.646,4,1,on/off road
1175,00:00:22.706,4,1,on/off road
1176,00:00:22.726,4,1,on/off road
1177,00:00:22.746,4,1,on/off road
1180,00:00:22.766,4,0,on/off road
1181,00:00:22.786,4,0,on/off road
1182,00:00:22.806,4,0,on/off road
1184,00:00:22.826,4,0,on/off road
1185,00:00:22.866,4,0,on/off road
1186,00:00:22.886,4,0,on/off road
1187,00:00:22.906,4,0,on/off road
1188,00:00:22.966,4,0,on/off road
1191,00:00:23.006,5,0,on/off road
1192,00:00:23.026,5,0,on/off road
1193,00:00:23.046,4,0,on/off road
1194,00:00:23.066,4,0,on/off road
